iter	CrossEntropy
1246	0.4483205872
1247	0.4482961426
1248	0.4482723999
1249	0.4482568665
1250	0.4482344971
1251	0.4482143555
1252	0.4481917419
1253	0.448175354
1254	0.4481506042
1255	0.4481273804
1256	0.4481086426
1257	0.4480830078
1258	0.448063446
1259	0.4480437012
1260	0.4480189819
1261	0.4480008545
1262	0.4479754028
1263	0.4479587097
1264	0.4479299316
1265	0.4479025574
1266	0.4478804016
1267	0.4478590698
1268	0.4478341675
1269	0.4478182983
1270	0.4477894287
1271	0.4477702026
1272	0.447746582
1273	0.4477201538
1274	0.4476979065
1275	0.4476828918
1276	0.4476654968
1277	0.4476404419
1278	0.4476185913
1279	0.4475999451
1280	0.4475791626
1281	0.4475567017
1282	0.4475273132
1283	0.4475030518
1284	0.4474892578
1285	0.447467926
1286	0.4474440002
1287	0.4474276733
1288	0.447401947
1289	0.4473729553
1290	0.4473459167
1291	0.4473249512
1292	0.447302124
1293	0.4472823181
1294	0.4472651978
1295	0.4472434692
1296	0.4472247009
1297	0.4472033386
1298	0.447182312
1299	0.4471613159
1300	0.4471472778
1301	0.4471283264
1302	0.4471028442
1303	0.4470855713
1304	0.4470667725
1305	0.447055481
1306	0.4470354004
1307	0.4470166016
1308	0.446994873
1309	0.4469814453
1310	0.4469640503
1311	0.4469356079
1312	0.4469136353
1313	0.4468921814
1314	0.4468786621
1315	0.4468596191
1316	0.4468349304
1317	0.4468155823
1318	0.4467946472
1319	0.4467710571
1320	0.4467548218
1321	0.4467338867
1322	0.4467123718
1323	0.4466863098
1324	0.4466682434
1325	0.4466433105
1326	0.4466151733
1327	0.4465952454
1328	0.4465758667
1329	0.4465482178
1330	0.446515686
1331	0.4465037231
1332	0.4464846802
1333	0.4464526367
1334	0.4464353943
1335	0.4464225464
1336	0.4464064331
1337	0.4463867188
1338	0.4463635864
1339	0.4463497314
1340	0.4463306274
1341	0.4463106079
1342	0.4462929077
1343	0.4462659912
1344	0.4462337646
1345	0.4462047424
1346	0.4461770325
1347	0.4461532593
1348	0.4461314087
1349	0.4461142273
1350	0.4461008301
1351	0.4460760498
1352	0.4460531616
1353	0.4460387573
1354	0.4460187683
1355	0.4459835815
1356	0.4459543457
1357	0.4459284973
1358	0.4459116211
1359	0.4458890381
1360	0.4458702393
1361	0.4458554687
1362	0.4458287354
1363	0.4458109741
1364	0.445788269
1365	0.4457692261
1366	0.4457433472
1367	0.4457230225
1368	0.4457000732
1369	0.4456802673
1370	0.4456568298
1371	0.4456353455
1372	0.4456201477
1373	0.4456045532
1374	0.4455814514
1375	0.4455542603
1376	0.4455326538
1377	0.4455126953
1378	0.4454924316
1379	0.4454781189
1380	0.4454533997
1381	0.4454326172
1382	0.4454140015
1383	0.4453879395
1384	0.4453677979
1385	0.4453418884
1386	0.4453114624
1387	0.4452833252
1388	0.445256897
1389	0.4452365723
1390	0.4452116089
1391	0.4451915894
1392	0.4451732178
1393	0.4451499023
1394	0.445130249
1395	0.4451117554
1396	0.4450830383
1397	0.4450679321
1398	0.4450486755
1399	0.4450307007
1400	0.4450061035
1401	0.4449814453
1402	0.4449588013
1403	0.4449386292
1404	0.4449202881
1405	0.4449057617
1406	0.4448887939
1407	0.4448693542
1408	0.4448489075
1409	0.4448340454
1410	0.4448112793
1411	0.4447825317
1412	0.4447578735
1413	0.4447306519
1414	0.444710907
1415	0.4446911011
1416	0.4446670532
1417	0.4446473694
1418	0.4446234741
1419	0.4446005859
1420	0.4445748596
1421	0.4445509033
1422	0.4445253296
1423	0.4445072021
1424	0.4444918823
1425	0.4444700317
1426	0.4444494019
1427	0.4444307251
1428	0.4444120178
1429	0.4443952942
1430	0.4443757324
1431	0.4443508301
1432	0.4443228149
1433	0.4442961426
1434	0.4442723999
1435	0.4442481995
1436	0.4442173462
1437	0.4441867065
1438	0.4441600037
1439	0.4441380005
1440	0.4441209412
1441	0.4441013184
1442	0.4440847778
1443	0.4440668945
1444	0.4440518188
1445	0.4440326538
1446	0.4440117798
1447	0.4439956055
1448	0.4439749451
1449	0.4439501038
1450	0.4439325867
1451	0.4439139099
1452	0.4438948975
1453	0.4438727722
1454	0.4438507385
1455	0.4438289185
1456	0.4438199463
1457	0.4438065796
1458	0.4437861328
1459	0.4437650146
1460	0.4437335815
1461	0.4437101135
1462	0.4436929932
1463	0.4436679077
1464	0.4436507568
1465	0.4436339722
1466	0.4436074524
1467	0.4435814819
1468	0.4435570068
1469	0.4435302734
1470	0.4435067749
1471	0.4434833374
1472	0.4434710693
1473	0.4434449463
1474	0.4434212646
1475	0.4434029541
1476	0.4433852539
1477	0.4433650513
1478	0.4433482971
1479	0.4433229675
1480	0.4433103333
1481	0.4432940674
1482	0.4432778015
1483	0.4432530212
1484	0.4432331238
1485	0.4432142944
1486	0.4431956482
1487	0.4431728821
1488	0.4431509705
1489	0.4431213684
1490	0.4431011353
1491	0.4430814514
1492	0.4430664673
1493	0.4430446777
1494	0.4430329895
1495	0.4430095825
1496	0.4429960632
1497	0.4429796143
1498	0.4429567261
1499	0.4429410706
1500	0.4429190063
1501	0.4429048157
1502	0.4428782654
1503	0.4428621216
1504	0.4428372192
